,index,filename,topic,department,province
4525,5784,乳山市应急管理局非煤矿山监管报表情况信息_0.xls,矿产资源及开发,应急部门,山东
4534,5799,乳山市招商促进中心日常学习记录信息_0.csv,行政,教育机构,山东
4536,5801,乳山市招商促进局会议信息_0.csv,行政,商务部门,山东
4537,5802,乳山市招商促进局发文信息_0.csv,行政,商务部门,山东
4539,5808,乳山市文化市场综合执法局部门决算公开信息_0.csv,文化,城市管理行政执法及审批部门,山东
4540,5809,乳山市文化市场综合执法局部门预算公开信息_0.csv,文化,城市管理行政执法及审批部门,山东
4549,5822,乳山市水利局业务手册信息_0.xls,行政,水利、水务部门,山东
4550,5823,乳山市水利局公共服务事项目录信息_0.csv,行政,水利、水务部门,山东
4551,5824,乳山市水利局公共服务事项目录服务指南信息_0.csv,行政,水利、水务部门,山东
4552,5825,乳山市水利局行政审批清单信息_0.xls,行政,水利、水务部门,山东
4553,5826,乳山市水利局行政责任清单信息_0.xls,行政,水利、水务部门,山东
4557,5830,乳山市海洋与渔业局水产苗种信息_0 (4).csv,农业生产,水利、水务部门,山东
4558,5831,乳山市海洋与渔业局水产苗种信息_0 (7).csv,农业生产,水利、水务部门,山东
4559,5833,乳山市海洋发展局乳山市市级行政权力清单信息_0.csv,行政,生态环境及自然资源部门,山东
4560,5834,乳山市海洋发展局乳山市水产健康养殖示范场信息_0.csv,农业生产,生态环境及自然资源部门,山东
4561,5835,乳山市海洋发展局乳山市水产健康养殖示范场名单信息_0.csv,农业生产,生态环境及自然资源部门,山东
4562,5842,乳山市海洋发展局乳山市海洋环境质量报告信息_0.csv,自然保护,生态环境及自然资源部门,山东
4563,5843,乳山市海洋发展局乳山市淡水养殖产量（按水域和养殖方式分）信息_0 (6).csv,农业生产,生态环境及自然资源部门,山东
4564,5844,乳山市海洋发展局乳山市淡水养殖面积（按水域和养殖方式分）_0.csv,农业生产,生态环境及自然资源部门,山东
4565,5845,乳山市海洋发展局乳山市渔业增殖放流信息_0.csv,行政,生态环境及自然资源部门,山东
4566,5847,乳山市海洋发展局乳山市渔港信息_0.csv,自然资源,生态环境及自然资源部门,山东
4567,5849,乳山市海洋发展局乳山市省级水产原种场基本信息_1 (5).csv,农业生产,生态环境及自然资源部门,山东
4568,5850,乳山市海洋发展局乳山市省级海洋牧场项目信息表_0.csv,农村发展,生态环境及自然资源部门,山东
4569,5852,乳山市海洋发展局宣传报道信息_0.csv,行政,生态环境及自然资源部门,山东
4570,5854,乳山市海洋发展局档案管理信息_0.csv,行政,生态环境及自然资源部门,山东
4571,5855,乳山市海洋发展局水产优质品种的引进信息_0.csv,农业生产,生态环境及自然资源部门,山东
4572,5858,乳山市海洋发展局科室职能信息_0.csv,行政,生态环境及自然资源部门,山东
4573,5859,乳山市海洋发展局行政处罚信息_0.csv,行政,生态环境及自然资源部门,山东
4574,5860,乳山市海洋发展局行政许可信息_0.csv,行政,生态环境及自然资源部门,山东
4575,5861,乳山市海洋发展局试验示范和推广信息_0.csv,行政,生态环境及自然资源部门,山东
4576,5862,乳山市海洋发展局转发省级以上政策法规信息_1.csv,行政,生态环境及自然资源部门,山东
4577,5865,乳山市爱国卫生运动委员会办公室开展病媒生物防制工作信息_0.xls,医疗卫生,文体活动机构,山东
4580,5869,乳山市畜牧局种畜禽场备案信息_0.csv,农业生产,农业农村部门,山东
4581,5872,乳山市科学技术局威海市级科技计划信息_0.csv,科技活动项目,科技部门,山东
4582,5873,乳山市科学技术局市级重点实验室信息_0.csv,科研机构企业及技术人员,科技部门,山东
4583,5874,乳山市科学技术局新型研发机构信息_0.csv,科研机构企业及技术人员,科技部门,山东
4584,5875,乳山市科学技术局省级工程技术研究中心信息_0.csv,科研机构企业及技术人员,科技部门,山东
4585,5876,乳山市科学技术局院士工作站信息_0.csv,教育人员,科技部门,山东
4586,5877,乳山市科技局“千帆计划”入库企业信息_0.csv,企业信息,科技部门,山东
4587,5878,乳山市科技局党风廉政教育信息_0.csv,行政,科技部门,山东
4588,5879,乳山市科技局创新创业政策信息_0.csv,人才引进,科技部门,山东
4589,5880,乳山市科技局山东省孵化器（众创空间）备案信息_0.csv,科研机构企业及技术人员,科技部门,山东
4590,5882,乳山市科技局机要文件收发管理信息_0.csv,行政,科技部门,山东
4591,5883,乳山市科技局督导督办事项信息_0.csv,行政,科技部门,山东
4592,5885,乳山市科技局部门预决算信息_0.csv,财政收支,科技部门,山东
4593,5886,乳山市科技局高新技术企业认定信息_0.csv,科研机构企业及技术人员,科技部门,山东
4594,5887,乳山市粮食仓储单位违法行为处罚信息_0.csv,行政,粮食和储备部门,山东
4595,5888,乳山市粮食收购资格受理信息_0.csv,农业生产,粮食和储备部门,山东
4596,5889,乳山市粮食收购资格审核信息_0.csv,农业生产,粮食和储备部门,山东
4600,5895,乳山市统计局业务培训信息_0.csv,行政,统计部门,山东
4601,5896,乳山市统计局主题党日信息_0.csv,行政,统计部门,山东
4602,5898,乳山市统计局党风廉政信息_0.csv,行政,统计部门,山东
4603,5899,乳山市统计局对标学习信息_0.xls,行政,统计部门,山东
4604,5901,乳山市统计局工业生产的影响因素信息_0.xls,工业,统计部门,山东
4605,5902,乳山市统计局开展扶贫工作信息_0.csv,社会救助及保障,统计部门,山东
4606,5903,乳山市统计局志愿服务活动信息_0.csv,民生服务,统计部门,山东
4607,5905,乳山市统计局政务公开工作信息_0.xls,行政,统计部门,山东
4608,5906,乳山市统计局文体活动信息_0.csv,文化,统计部门,山东
4609,5907,乳山市统计局用电情况分析信息_0.xls,能源,统计部门,山东
4610,5908,乳山市统计局纳统工作信息_0.xls,行政,统计部门,山东
4611,5909,乳山市综合行政执法局数字化城市管理系统运行数据信息_0.csv,行政,城市管理行政执法及审批部门,山东
4612,5910,乳山市综合行政执法局行政执法证件管理信息_0.csv,行政,城市管理行政执法及审批部门,山东
4613,5914,乳山市联社学习教育信息_0.xls,教育事业,教育机构,山东
4620,5926,乳山市行政审批服务局意识形态建设信息_0.csv,行政,城市管理行政执法及审批部门,山东
4624,5931,乳山技校开放教育信息_0.csv,教育事业,教育机构,山东
4625,5932,乳山技校德育活动信息_0.csv,教育事业,教育机构,山东
4626,5933,乳山技校收费项目及标准信息_0.csv,教育事业,教育机构,山东
4627,5934,乳山技校法制安全信息_1.csv,教育事业,教育机构,山东
4628,5935,乳山技校竞赛活动信息_0.csv,教育事业,教育机构,山东
4629,5936,事业人员招聘工作_0.csv,就业失业,教育机构,山东
4631,5939,事业单位信息_0.xls,行政,教育机构,山东
4633,5941,事业单位公开招聘人员备案信息_0.csv,行政,教育机构,山东
4634,5942,事业单位公开招聘工作人员信息_0.xls,行政,教育机构,山东
4635,5943,事业单位公开招聘工作人员拟聘用人员名单_0.xls,行政,教育机构,山东
4636,5944,事业单位公开招聘工作人员拟聘用人员名单信息_0.xls,行政,教育机构,山东
4637,5945,事业单位公开招聘笔试报名数据信息_0.xls,行政,教育机构,山东
4643,5954,事业单位教育类公开招聘信息_0.csv,行政,教育机构,山东
4644,5955,事业单位教育类公开招聘信息_1.csv,行政,教育机构,山东
4648,5959,事业单位法人变更登记_(开放)_0.csv,法人单位,教育机构,山东
4912,6224,事业单位法人登记信息.csv,法人单位,教育机构,浙江
4913,6225,事业单位法人登记信息_0 (1).csv,法人单位,教育机构,山东
4914,6226,事业单位法人登记信息_0.csv,法人单位,教育机构,山东
4981,6294,事业单位法人设立登记事业管理局_1597040378432.xls,法人单位,城市管理行政执法及审批部门,广东
4982,6295,事业单位法人设立登记事业管理局_1597040379044.xls,法人单位,城市管理行政执法及审批部门,广东
4983,6296,事业单位法人设立登记事业管理局_1597040379394.xls,法人单位,城市管理行政执法及审批部门,广东
4984,6297,事业单位法人设立登记事业管理局_1597040379919.xls,法人单位,城市管理行政执法及审批部门,广东
4985,6298,事业单位法人设立登记事业管理局_1597040380264.xls,法人单位,城市管理行政执法及审批部门,广东
4986,6299,事业单位法人设立登记事业管理局_1597040380644.xls,法人单位,城市管理行政执法及审批部门,广东
4987,6300,事业单位法人设立登记事业管理局_1597040381364.xls,法人单位,城市管理行政执法及审批部门,广东
4988,6301,事业单位法人设立登记事业管理局_1597040382176.xls,法人单位,城市管理行政执法及审批部门,广东
4989,6302,事业单位法人设立登记事业管理局_1597040383063.xls,法人单位,城市管理行政执法及审批部门,广东
4990,6303,事业单位法人设立登记事业管理局_1597040383406.xls,法人单位,城市管理行政执法及审批部门,广东
4991,6304,事业单位法人设立登记事业管理局_1597040383860.xls,法人单位,城市管理行政执法及审批部门,广东
4992,6305,事业单位法人设立登记事业管理局_1597040384273.xls,法人单位,城市管理行政执法及审批部门,广东
4993,6306,事业单位法人设立登记事业管理局_1597040385090.xls,法人单位,城市管理行政执法及审批部门,广东
4994,6307,事业单位法人设立登记事业管理局_1597040385545.xls,法人单位,城市管理行政执法及审批部门,广东
4995,6308,事业单位法人设立登记事业管理局_1597040387041.xls,法人单位,城市管理行政执法及审批部门,广东
4996,6309,事业单位法人设立登记事业管理局_1597040387187.xls,法人单位,城市管理行政执法及审批部门,广东
4997,6310,事业单位法人设立登记事业管理局_1597040387359.xls,法人单位,城市管理行政执法及审批部门,广东
4998,6311,事业单位法人设立登记事业管理局_1597040387528.xls,法人单位,城市管理行政执法及审批部门,广东
4999,6312,事业单位法人设立登记事业管理局_1597040387708.xls,法人单位,城市管理行政执法及审批部门,广东
5000,6314,事业单位注销登记_0.csv,行政,教育机构,广西
5004,6319,事业单位综合类公开招聘信息_0.csv,行政,教育机构,山东
5005,6321,事业单位设立登记信息_0.csv,行政,教育机构,山东
5010,6327,事故处理机构上报信息.csv,公共安全,公安部门,浙江
5012,6331,事故认定证明版式文件.csv,道路交通及管理,水利、水务部门,浙江
5023,6343,二手房交易税收_0.xls,居民住房,住房城乡建设部门,山东
5028,6348,二手车交易市场信息.csv,道路交通及管理,交通运输部门,天津
5035,6359,二甲医院信息.csv,医疗卫生,医院及社区卫生服务机构,浙江
5041,6365,二级以上医疗机构医院等级情况_0.csv,医疗卫生,医院及社区卫生服务机构,山东
5042,6367,二级医院信息目录_0.csv,医疗卫生,医院及社区卫生服务机构,山东
5043,6368,二级医院名单信息_0.csv,医疗卫生,医院及社区卫生服务机构,山东
5044,6369,二级建造师执业资格及注册初审_0.xls,建筑业,住房城乡建设部门,山东
5045,6370,二级建造师注册资格认定.xls,建筑业,住房城乡建设部门,湖南
5046,6371,二级房地产开发企业资质到期后注销二级资质.xls,房地产,住房城乡建设部门,湖南
5048,6373,二级注册建筑师执业资格认定.xls,建筑业,住房城乡建设部门,湖南
5049,6374,二级注册结构工程师执业资格认定.xls,建筑业,住房城乡建设部门,湖南
5050,6375,二级社会体育指导员培训人员信息_0.csv,体育,教育机构,山东
5052,6377,二级运动员信息_0.csv,体育,文体活动机构,山东
5053,6379,二级运动员证书（2019）信息.csv,体育,文体活动机构,浙江
5054,6380,于里派出所旅馆登记信息_0.xls,民生服务,公安部门,山东
5062,6388,云岩区《建设工程规划许可证》月度发证明细表_2018-04-08_10_23_22_2.csv,建筑业,住房城乡建设部门,贵州
5066,6393,云岩区中初级专业技术职务任职资格评审信息_2019-12-19_10_41_51_1.xls,教育人员,教育机构,贵州
5067,6394,云岩区中初级专业技术职务任职资格评审信息_2020-11-30_16_47_14_3.xls,教育人员,教育机构,贵州
5068,6395,云岩区中初级专业技术职务任职资格评审信息_2021-07-02_16_22_47_4.xls,教育人员,教育机构,贵州
5069,6396,云岩区中初级专业技术职务任职资格评审通过人员公示信息_2019-12-19_10_40_42_1.xls,教育人员,教育机构,贵州
5070,6397,云岩区中初级专业技术职务任职资格评审通过人员公示信息_2020-11-30_16_47_25_3.xls,教育人员,教育机构,贵州
5071,6398,云岩区中初级专业技术职务任职资格评审通过人员公示信息_2021-07-02_16_23_12_4.xls,教育人员,教育机构,贵州
5072,6399,云岩区中初级专业技术职务任职资格评审通过人员公示信息_2021-07-02_16_24_17_5.xls,教育人员,教育机构,贵州
5073,6400,云岩区中初级专业技术职务任职资格评审通过人员公示信息_2021-07-02_16_28_01_6.xls,教育人员,教育机构,贵州
5074,6401,云岩区交警大队信息_2018-04-08_10_30_34_2.csv,道路交通及管理,公安部门,贵州
5075,6402,云岩区交警大队信息_2020-12-18_10_38_21_5.xls,道路交通及管理,公安部门,贵州
5076,6403,云岩区交通大队机动车查验岗_2018-04-08_10_30_15_2.csv,道路交通及管理,交通运输部门,贵州
5077,6405,云岩区交通大队机动车查验岗_2020-12-10_15_54_05_8.xlsx,道路交通及管理,交通运输部门,贵州
5078,6406,云岩区人力资源和社会保障局部门预算及“三公”经费预算_2019-07-25_09_41_53_2.xls,财政预算,人力资源社会保障部门,贵州
5079,6407,云岩区人力资源和社会保障局部门预算及“三公”经费预算_2020-11-19_09_48_51_4.xls,财政预算,人力资源社会保障部门,贵州
5080,6408,云岩区人民政府审计局部门预算及“三公”经费预算信息_2019-12-09_16_28_03_4.xlsx,财政预算,审计部门,贵州
5081,6409,云岩区人民政府审计局部门预算及“三公”经费预算信息_2020-11-10_14_04_59_5.xlsx,财政预算,审计部门,贵州
5088,6416,云岩区住房城乡建设局站所名录_2019-07-24_15_40_56_1.xlsx,城市建设,住房城乡建设部门,贵州
5089,6417,云岩区住房城乡建设局站所名录_2019-07-24_15_41_16_2.xlsx,城市建设,住房城乡建设部门,贵州
5090,6418,云岩区住房城乡建设局站所名录_2020-11-12_10_27_07_3.xlsx,城市建设,住房城乡建设部门,贵州
5093,6421,云岩区信访局基本信息_2018-04-04_19_22_29_1.csv,行政,司法部门,贵州
5094,6423,云岩区信访局基本信息_2020-11-09_16_09_27_5.xlsx,行政,司法部门,贵州
5116,6446,云岩区公办初中片区划分信息_2018-04-10_11_08_55_3.xlsx,教育事业,教育机构,贵州
5117,6447,云岩区公办初中片区划分信息_2019-08-15_16_47_09_5.xls,教育事业,教育机构,贵州
5118,6448,云岩区公办初中片区划分信息_2020-11-20_10_28_14_6.xls,教育事业,教育机构,贵州
5119,6449,云岩区农业农村局权力和责任清单_2020-11-11_14_16_53_4.xlsx,行政,农业农村部门,贵州
5120,6450,云岩区农委权力和责任清单_2019-07-31_14_56_32_3.xlsx,行政,农业农村部门,贵州
5123,6453,云岩区区住建局部门预算及“三公”经费预算_2019-07-25_10_04_20_2.xls,财政预算,住房城乡建设部门,贵州
5124,6454,云岩区区住建局部门预算及“三公”经费预算_2020-11-13_09_30_31_3.xls,财政预算,住房城乡建设部门,贵州
5125,6455,云岩区区住建局部门预算及“三公”经费预算_2020-11-13_09_35_07_5.xls,财政预算,住房城乡建设部门,贵州
5129,6459,云岩区区属（管）公立医疗机构名录_2019-12-06_16_36_40_3.xlsx,医疗卫生,医院及社区卫生服务机构,贵州
5130,6460,云岩区区属（管）公立医疗机构名录_2020-03-10_11_14_02_4.xlsx,医疗卫生,医院及社区卫生服务机构,贵州
5131,6461,云岩区区属（管）公立医疗机构名录_2020-11-06_14_14_05_5.xlsx,医疗卫生,医院及社区卫生服务机构,贵州
5132,6464,云岩区区民政局权力清单和责任清单_2019-12-17_10_07_10_2.xls,行政,民政部门,贵州
5133,6465,云岩区区民政局权力清单和责任清单_2020-09-03_15_56_59_3.xls,行政,民政部门,贵州
5134,6466,云岩区区民政局权力清单和责任清单_2020-11-10_15_08_36_4.xls,行政,民政部门,贵州
5135,6467,云岩区区民政局权力清单和责任清单_2021-04-06_11_31_33_5.xls,行政,民政部门,贵州
5136,6468,云岩区区民政局权力清单和责任清单_2021-06-24_14_40_27_6.xls,行政,民政部门,贵州
5137,6469,云岩区区民政局部门预算及“三公”经费预算_2019-12-19_11_07_08_1.xlsx,财政预算,民政部门,贵州
5138,6470,云岩区区民政局部门预算及“三公”经费预算_2020-11-10_15_04_20_2.xls,财政预算,民政部门,贵州
5139,6471,云岩区区民政局部门预算及“三公”经费预算_2021-06-25_16_39_33_3.xls,财政预算,民政部门,贵州
5140,6472,云岩区区民政局部门预算及“三公”经费预算_2021-09-30_15_48_45_4.xls,财政预算,民政部门,贵州
5141,6473,云岩区区民政局部门预算及“三公”经费预算_2021-09-30_15_51_26_5.xls,财政预算,民政部门,贵州
5142,6474,云岩区区水务局权力清单和责任清单_2019-08-02_10_00_15_5.xlsx,行政,水利、水务部门,贵州
5143,6475,云岩区区水务局权力清单和责任清单_2019-12-10_14_52_46_6.xlsx,行政,水利、水务部门,贵州
5144,6476,云岩区区水务局权力清单和责任清单_2020-11-04_16_02_44_7.xlsx,行政,水利、水务部门,贵州
5145,6477,云岩区区移民局权力清单和责任清单_2019-12-18_14_40_27_1.xlsx,行政,民政部门,贵州
5146,6478,云岩区区移民局权力清单和责任清单_2020-11-11_14_19_15_2.xlsx,行政,民政部门,贵州
5147,6479,云岩区区级文保名单一览表_2019-12-19_14_23_19_3.xlsx,文化,文体活动机构,贵州
5148,6480,云岩区区级文保名单一览表_2020-11-16_16_04_29_4.xlsx,文化,文体活动机构,贵州
5150,6482,云岩区医疗卫生机构、床位、人员数_2018-02-07_11_53_25_1.csv,医疗卫生,医院及社区卫生服务机构,贵州
5151,6484,云岩区医疗卫生机构、床位、人员数_2019-12-06_16_36_04_3.xls,医疗卫生,医院及社区卫生服务机构,贵州
5152,6485,云岩区医疗卫生机构、床位、人员数_2020-11-06_14_11_51_4.xlsx,医疗卫生,医院及社区卫生服务机构,贵州
5154,6487,云岩区卫计局权力清单和责任清单_2018-04-10_16_59_29_2.csv,行政,卫生健康委员会,贵州
5155,6489,云岩区卫计局权力清单和责任清单_2019-12-06_16_37_13_4.xlsx,行政,卫生健康委员会,贵州
5156,6490,云岩区卫计局权力清单和责任清单_2020-11-06_14_11_00_5.xlsx,行政,卫生健康委员会,贵州
5157,6491,云岩区卫计局财政预算和“三公”经费预算表_2018-02-07_11_54_36_1.xls,财政预算,卫生健康委员会,贵州
5158,6492,云岩区卫计局财政预算和“三公”经费预算表_2019-12-06_16_35_36_3.xls,财政预算,卫生健康委员会,贵州
5159,6493,云岩区卫计局财政预算和“三公”经费预算表_2020-11-12_09_04_59_4.xlsx,财政预算,卫生健康委员会,贵州
5163,6497,云岩区司法局权力清单和责任清单_2019-12-03_15_32_48_3.xlsx,行政,司法部门,贵州
5164,6498,云岩区司法局权力清单和责任清单_2020-11-09_16_27_50_4.xlsx,行政,司法部门,贵州
5165,6499,云岩区司法局权力清单和责任清单_2021-10-11_12_20_01_5.xlsx,行政,司法部门,贵州
5166,6500,云岩区司法局部门预算及“三公”经费预算_2019-12-03_15_36_26_5.xls,财政预算,司法部门,贵州
5167,6501,云岩区司法局部门预算及“三公”经费预算_2020-03-17_15_33_03_7.xls,财政预算,司法部门,贵州
5168,6502,云岩区司法局部门预算及“三公”经费预算_2021-10-11_10_13_48_8.xls,财政预算,司法部门,贵州
5169,6503,云岩区司法局部门预算及“三公”经费预算_2021-10-11_10_13_50_9.xls,财政预算,司法部门,贵州
5174,6508,云岩区城市管理局权力清单_2019-11-29_11_20_54_3.xlsx,行政,城市管理行政执法及审批部门,贵州
5175,6509,云岩区城市管理局权力清单_2020-03-17_08_49_46_9.xlsx,行政,城市管理行政执法及审批部门,贵州
5176,6510,云岩区城市管理局权力清单_2021-10-18_09_51_08_10.xlsx,行政,城市管理行政执法及审批部门,贵州
5180,6515,云岩区城管大队机构概况_2019-11-29_11_44_19_5.xls,行政,城市管理行政执法及审批部门,贵州
5181,6516,云岩区城管大队机构概况_2020-03-17_08_49_32_10.xls,行政,城市管理行政执法及审批部门,贵州
5182,6517,云岩区城管大队机构概况_2021-10-09_16_15_23_11.xlsx,行政,城市管理行政执法及审批部门,贵州
5183,6518,云岩区基层法律服务所名录_2018-04-08_10_37_44_2.csv,法律,社会援助救助机构,贵州
5184,6519,云岩区基层法律服务所名录_2019-12-03_15_31_34_3.xlsx,法律,社会援助救助机构,贵州
5185,6520,云岩区基层法律服务所名录_2020-11-10_11_22_25_4.xls,法律,社会援助救助机构,贵州
5188,6523,云岩区安监局信息_2018-04-10_11_30_42_2.csv,行政,市场监管部门,贵州
5189,6525,云岩区小学信息_2018-04-09_15_17_10_1.xlsx,教育事业,教育机构,贵州
5190,6526,云岩区小学信息_2019-07-04_11_36_20_17.xls,教育事业,教育机构,贵州
5191,6527,云岩区小学信息_2019-07-04_11_36_21_18.xls,教育事业,教育机构,贵州
5192,6528,云岩区小学信息_2020-11-20_17_31_12_20.xlsx,教育事业,教育机构,贵州
5193,6529,云岩区年度纳税信用A级纳税人清册_2018-04-10_12_13_17_3.csv,财政税收,税务部门,贵州
5194,6530,云岩区年度纳税信用A级纳税人清册_2019-11-29_14_18_20_4.xlsx,财政税收,税务部门,贵州
5195,6531,云岩区年度纳税信用A级纳税人清册_2020-11-10_12_35_22_6.xlsx,财政税收,税务部门,贵州
5196,6532,云岩区年度纳税信用A级纳税人清册_2021-10-12_11_21_03_7.xlsx,财政税收,税务部门,贵州
5200,6536,云岩区应急管理局信息_2020-04-03_09_39_51_3.xlsx,行政,应急部门,贵州
5201,6537,云岩区律师事务所基本信息_2018-04-10_11_57_03_5.csv,法律,司法部门,贵州
5202,6538,云岩区律师事务所基本信息_2018-04-10_11_57_03_6.csv,法律,司法部门,贵州
5210,6548,云岩区放射诊疗卫生行政许可信息_2018-02-07_11_50_57_1.csv,医疗卫生,医院及社区卫生服务机构,贵州
5211,6550,云岩区放射诊疗卫生行政许可信息_2019-12-06_16_37_25_3.xls,医疗卫生,医院及社区卫生服务机构,贵州
5212,6551,云岩区放射诊疗卫生行政许可信息_2020-11-13_09_37_52_5.xls,医疗卫生,医院及社区卫生服务机构,贵州
5213,6552,云岩区教育局教坛新秀信息_2018-04-09_15_19_29_1.csv,教育人员,教育及体育部门,贵州
5214,6554,云岩区教育局教坛新秀信息_2019-07-04_13_30_47_2.xlsx,教育人员,教育及体育部门,贵州
5215,6555,云岩区教育局教坛新秀信息_2020-11-20_10_43_11_3.xls,教育人员,教育及体育部门,贵州
5216,6556,云岩区教育局部门决算及三公经费决算_2019-12-30_09_59_47_5.xlsx,财政收支,教育及体育部门,贵州
5217,6557,云岩区教育局部门决算及三公经费决算_2020-11-20_11_44_21_6.xls,财政收支,教育及体育部门,贵州
5218,6559,云岩区文化和旅游局权力清单和责任清单_2019-12-17_15_51_30_1.xlsx,行政,文化广播电视和旅游部门,贵州
5219,6560,云岩区文化和旅游局权力清单和责任清单_2020-11-10_10_34_26_2.xlsx,行政,文化广播电视和旅游部门,贵州
5220,6561,云岩区文化和旅游局权力清单和责任清单_2021-10-15_10_05_25_3.xlsx,行政,文化广播电视和旅游部门,贵州
5221,6562,云岩区文化站信息_2019-07-26_11_18_59_3.xlsx,文化,文化广播电视和旅游部门,贵州
5222,6563,云岩区文化站信息_2020-11-25_14_47_07_5.xlsx,文化,文化广播电视和旅游部门,贵州
5223,6564,云岩区文化站信息_2021-10-15_10_05_40_7.xlsx,文化,文化广播电视和旅游部门,贵州
5224,6565,云岩区新闻出版广电局行政机构_2018-04-10_17_27_09_2.xlsx,出版物及相关单位,文化广播电视和旅游部门,贵州
5225,6566,云岩区新闻出版广电局行政机构_2019-07-26_14_38_47_3.xlsx,出版物及相关单位,文化广播电视和旅游部门,贵州
5226,6567,云岩区新闻出版广电局行政机构_2019-07-26_14_40_55_4.xlsx,出版物及相关单位,文化广播电视和旅游部门,贵州
5227,6568,云岩区新闻出版广电局行政机构_2020-03-10_11_03_36_5.xlsx,出版物及相关单位,文化广播电视和旅游部门,贵州
5232,6573,云岩区机构信息_2019-12-24_16_32_50_5.xlsx,行政,生态环境及自然资源部门,贵州
5233,6574,云岩区机构信息_2020-03-10_15_24_05_7.xlsx,行政,生态环境及自然资源部门,贵州
5235,6576,云岩区机构信息_2020-11-13_14_38_22_30.xlsx,行政,教育机构,贵州
5236,6577,云岩区机构信息_2021-09-08_11_20_14_8.xlsx,行政,生态环境及自然资源部门,贵州
5238,6579,云岩区民政局机构信息_2019-12-24_11_27_36_1.xlsx,行政,民政部门,贵州
5239,6580,云岩区民政局机构信息_2020-09-03_15_58_19_2.xlsx,行政,民政部门,贵州
5240,6581,云岩区民政局机构信息_2020-11-10_15_06_29_3.xlsx,行政,民政部门,贵州
5241,6582,云岩区民政局机构信息_2021-04-06_11_31_39_4.xlsx,行政,民政部门,贵州
5242,6583,云岩区民政局机构信息_2021-06-24_14_39_30_5.xlsx,行政,民政部门,贵州
5243,6584,云岩区水务局局属单位_2018-04-26_10_14_35_1.csv,行政,水利、水务部门,贵州
5244,6586,云岩区水务局局属单位_2019-12-23_19_46_39_3.xlsx,行政,水利、水务部门,贵州
5245,6587,云岩区水务局局属单位_2020-03-20_12_48_44_6.xlsx,行政,水利、水务部门,贵州
5246,6588,云岩区水务局局属单位_2020-11-27_14_08_04_7.xlsx,行政,水利、水务部门,贵州
5247,6589,云岩区水务局行政机构_2019-12-02_11_05_14_6.xlsx,行政,水利、水务部门,贵州
5248,6590,云岩区水务局行政机构_2020-11-05_10_19_58_7.xlsx,行政,水利、水务部门,贵州
5249,6591,云岩区水务管理局行政许可审批办事指南_2018-04-26_10_16_03_1.csv,行政,水利、水务部门,贵州
5250,6593,云岩区水务管理局行政许可审批办事指南_2019-07-31_16_20_45_2.xlsx,行政,水利、水务部门,贵州
5251,6594,云岩区水务管理局行政许可审批办事指南_2019-12-11_09_22_35_3.xlsx,行政,水利、水务部门,贵州
5252,6595,云岩区水务管理局行政许可审批办事指南_2020-03-20_12_51_16_9.xlsx,行政,水利、水务部门,贵州
5253,6596,云岩区水务管理局行政许可审批办事指南_2020-11-27_14_05_19_10.xlsx,行政,水利、水务部门,贵州
5254,6599,云岩区法律援助中心月报表_2020-11-09_16_26_49_10.xlsx,法律,社会援助救助机构,贵州
5255,6600,云岩区法律援助中心月报表_2020-11-09_16_26_50_12.xlsx,法律,社会援助救助机构,贵州
5256,6601,云岩区法律援助中心月报表_2020-11-09_16_26_51_13.xlsx,法律,社会援助救助机构,贵州
5257,6602,云岩区法律援助中心月报表_2021-10-11_12_17_32_14.xls,法律,社会援助救助机构,贵州
5258,6603,云岩区法律援助中心月报表_2021-10-11_12_17_33_15.xls,法律,社会援助救助机构,贵州
5259,6604,云岩区法律援助中心月报表_2021-10-11_12_17_33_16.xls,法律,社会援助救助机构,贵州
5260,6605,云岩区法律援助中心月报表_2021-10-11_12_17_33_17.xls,法律,社会援助救助机构,贵州
5261,6606,云岩区法律援助中心月报表_2021-10-11_12_17_34_18.xls,法律,社会援助救助机构,贵州
5262,6607,云岩区法律援助中心月报表_2021-10-11_12_17_34_19.xls,法律,社会援助救助机构,贵州
5263,6608,云岩区法律援助中心月报表_2021-10-11_12_17_35_20.xls,法律,社会援助救助机构,贵州
5264,6609,云岩区法律援助中心月报表_2021-10-11_12_17_35_21.xls,法律,社会援助救助机构,贵州
5265,6610,云岩区法律援助中心月报表_2021-10-11_12_17_35_22.xls,法律,社会援助救助机构,贵州
5266,6611,云岩区流动人口计划生育免费公共服务定点机构信息_2018-04-10_17_00_08_2.csv,计划生育,医院及社区卫生服务机构,贵州
5267,6613,云岩区流动人口计划生育免费公共服务定点机构信息_2019-12-11_14_20_00_5.xlsx,计划生育,医院及社区卫生服务机构,贵州
5268,6614,云岩区流动人口计划生育免费公共服务定点机构信息_2020-03-10_11_13_43_6.xlsx,计划生育,医院及社区卫生服务机构,贵州
5269,6615,云岩区流动人口计划生育免费公共服务定点机构信息_2020-11-06_14_14_17_7.xlsx,计划生育,医院及社区卫生服务机构,贵州
5277,6626,云岩区科技局验收项目清单_2018-04-10_17_12_05_4.csv,财政收支,科技部门,贵州
5278,6628,云岩区科技局验收项目清单_2018-04-10_17_12_05_5.csv,财政收支,科技部门,贵州
5279,6630,云岩区科技局验收项目清单_2018-04-10_17_12_06_6.csv,财政收支,科技部门,贵州
